item_id,model_id,mode,NF4,BF16
clinical_astra_b02_020,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b03_001,Qwen/Qwen3.8-27B,no_rag,0.0,0.0
clinical_astra_b03_001,google/gemma-3-12b-it,no_rag,0.0,0.0
clinical_astra_b03_001,google/gemma-3-27b-it,no_rag,0.0,0.0
clinical_astra_b03_001,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b03_001,meta-llama/Llama-3.1-8B-Instruct,no_rag,0.0,0.0
clinical_astra_b03_001,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,0.0
clinical_astra_b03_001,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b03_002,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b03_002,XHToken/Spark-X2.5-4B,no_rag,1.0,1.0
clinical_astra_b03_002,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b03_002,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b03_002,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b03_002,meta-llama/Llama-3.1-8B-Instruct,no_rag,1.0,1.0
clinical_astra_b03_002,meta-llama/Llama-3.2-1B-Instruct,no_rag,0.0,1.0
clinical_astra_b03_002,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b03_003,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b03_003,google/gemma-3-12b-it,no_rag,1.0,1.0
clinical_astra_b03_003,google/gemma-3-27b-it,no_rag,1.0,1.0
clinical_astra_b03_003,google/gemma-4-12B-it,no_rag,1.0,1.0
clinical_astra_b03_003,meta-llama/Llama-3.1-8B-Instruct,no_rag,1.0,1.0
clinical_astra_b03_003,microsoft/phi-4,no_rag,1.0,1.0
clinical_astra_b03_004,Qwen/Qwen3.8-27B,no_rag,1.0,1.0
clinical_astra_b03_004,XHToken/Spark-X2.5-4B,no_rag,0.0,1.0
clinical_astra_b03_004,google/gemma-3-12b-it,no_rag,1.0,1.0
